timestamp,j1,j2,j3,j4,j5,j6,x,y,z,alpha,beta,gamma
385948300.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
385958680.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
385969013.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
385979346.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
385989679.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386000012.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386010345.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386020725.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386031058.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386041391.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386051724.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386062057.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386072437.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386082770.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386093103.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386103436.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386113769.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386124102.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386134482.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386144815.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386155148.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386165481.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386175814.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386186194.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386196527.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386206860.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386217193.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386227526.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386237859.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386248239.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83677,3.15258,218.63574,-180.0,0.0,2.0
386258572.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386268905.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386279238.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386289571.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386299951.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386310284.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386320617.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386330950.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386341283.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386351616.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386361996.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386372329.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386382662.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386392995.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386403328.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386413661.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386424041.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386434374.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386444707.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386455040.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386465373.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386475753.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386486086.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386496419.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386506752.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386517085.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386527418.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386537798.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83687,3.30258,218.63548,179.94073,0.0,1.99999
386548131.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386558464.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386568797.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386579130.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386589510.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386599843.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386610176.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386620509.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386630842.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386641222.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386651555.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386661888.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386672221.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386682554.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386692888.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386703267.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386713600.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386723933.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386734266.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386744600.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386754979.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386765312.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386775645.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386785978.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386796312.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386806645.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386817024.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386827357.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83578,3.45258,218.6424,179.88145,0.0,2.0
386837690.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386848024.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386858357.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386868690.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386879069.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386889402.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386899736.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386910069.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386920402.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386930781.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386941114.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386951448.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
386961781.0,0.0,0.0,0.0,0.0,0.0,0.0,119.83463,3.60258,218.65491,179.82219,0.0,2.0
